CustomerID,last_purchase_date,days_since_last_purchase,churn_status
12791,2010-12-01,373,Churned
13065,2010-12-01,373,Churned
13747,2010-12-01,373,Churned
14142,2010-12-01,373,Churned
14237,2010-12-01,373,Churned
14729,2010-12-01,373,Churned
15165,2010-12-01,373,Churned
15350,2010-12-01,373,Churned
15922,2010-12-01,373,Churned
16048,2010-12-01,373,Churned
16274,2010-12-01,373,Churned
16583,2010-12-01,373,Churned
17643,2010-12-01,373,Churned
17908,2010-12-01,373,Churned
17968,2010-12-01,373,Churned
18011,2010-12-01,373,Churned
18074,2010-12-01,373,Churned
12738,2010-12-02,372,Churned
12855,2010-12-02,372,Churned
13011,2010-12-02,372,Churned
13108,2010-12-02,372,Churned
14576,2010-12-02,372,Churned
15070,2010-12-02,372,Churned
15363,2010-12-02,372,Churned
15823,2010-12-02,372,Churned
15923,2010-12-02,372,Churned
16510,2010-12-02,372,Churned
16752,2010-12-02,372,Churned
16754,2010-12-02,372,Churned
16781,2010-12-02,372,Churned
17732,2010-12-02,372,Churned
17850,2010-12-02,372,Churned
17855,2010-12-02,372,Churned
17925,2010-12-02,372,Churned
17976,2010-12-02,372,Churned
12686,2010-12-03,371,Churned
12725,2010-12-03,371,Churned
13370,2010-12-03,371,Churned
14589,2010-12-03,371,Churned
16926,2010-12-03,371,Churned
17967,2010-12-03,371,Churned
14813,2010-12-05,369,Churned
15880,2010-12-05,369,Churned
16718,2010-12-05,369,Churned
15899,2010-12-06,368,Churned
16658,2010-12-06,368,Churned
16858,2010-12-06,368,Churned
17860,2010-12-06,368,Churned
18113,2010-12-06,368,Churned
13786,2010-12-07,367,Churned
13807,2010-12-07,367,Churned
15180,2010-12-07,367,Churned
16125,2010-12-07,367,Churned
18119,2010-12-07,367,Churned
12441,2010-12-08,366,Churned
13270,2010-12-08,366,Churned
14821,2010-12-08,366,Churned
15221,2010-12-08,366,Churned
15332,2010-12-08,366,Churned
15347,2010-12-08,366,Churned
15973,2010-12-08,366,Churned
16679,2010-12-08,366,Churned
16893,2010-12-08,366,Churned
18269,2010-12-08,366,Churned
12797,2010-12-09,365,Churned
13369,2010-12-09,365,Churned
14355,2010-12-09,365,Churned
14437,2010-12-09,365,Churned
14932,2010-12-09,365,Churned
15945,2010-12-09,365,Churned
16065,2010-12-09,365,Churned
16795,2010-12-09,365,Churned
17456,2010-12-09,365,Churned
17978,2010-12-09,365,Churned
12785,2010-12-10,364,Churned
14082,2010-12-10,364,Churned
15723,2010-12-10,364,Churned
16565,2010-12-10,364,Churned
16727,2010-12-10,364,Churned
