CustomerID,total_orders,first_purchase_date,last_purchase_date
12346,1,1/18/2011 10:01,1/18/2011 10:01
12347,7,1/26/2011 14:30,8/2/2011 8:48
12348,4,1/25/2011 10:42,9/25/2011 13:13
12349,1,11/21/2011 9:51,11/21/2011 9:51
12350,1,2/2/2011 16:01,2/2/2011 16:01
12352,8,11/3/2011 14:37,9/28/2011 14:58
12353,1,5/19/2011 17:47,5/19/2011 17:47
12354,1,4/21/2011 13:11,4/21/2011 13:11
12355,1,5/9/2011 13:49,5/9/2011 13:49
12356,3,1/18/2011 9:50,4/8/2011 12:33
12357,1,11/6/2011 16:07,11/6/2011 16:07
12358,2,12/8/2011 10:26,7/12/2011 10:04
12359,4,1/12/2011 12:43,6/3/2011 12:26
12360,3,10/18/2011 15:22,8/19/2011 10:10
12361,1,2/25/2011 13:51,2/25/2011 13:51
12362,10,10/11/2011 14:33,9/28/2011 12:04
12363,2,4/11/2011 13:29,8/22/2011 10:18
12364,4,10/30/2011 15:43,9/22/2011 16:07
12365,2,2/21/2011 13:51,2/21/2011 14:04
12367,1,12/5/2011 16:48,12/5/2011 16:48
12370,4,10/19/2011 14:51,3/10/2011 12:48
12371,2,10/11/2011 10:43,10/26/2011 10:16
12372,3,2/16/2011 12:46,9/29/2011 12:12
12373,1,2/1/2011 13:10,2/1/2011 13:10
12374,1,11/14/2011 15:37,11/14/2011 15:37
12375,2,11/29/2011 10:36,9/2/2011 14:23
12377,2,1/28/2011 15:45,12/20/2010 9:37
12378,1,8/2/2011 10:34,8/2/2011 10:34
12379,2,6/22/2011 16:32,9/19/2011 10:09
12380,4,10/14/2011 11:39,9/22/2011 17:31
12381,5,10/11/2011 15:45,8/12/2011 9:57
12383,5,1/12/2011 14:10,6/8/2011 8:02
12384,2,11/11/2011 8:39,8/10/2011 11:23
12386,2,1/6/2011 12:37,12/8/2010 9:53
12388,6,1/17/2011 11:12,9/25/2011 11:30
12390,1,9/21/2011 9:33,9/21/2011 9:33
12391,1,11/18/2011 12:07,11/18/2011 12:07
12393,4,1/11/2011 9:47,9/28/2011 15:41
12394,2,10/7/2011 8:08,5/6/2011 14:01
12395,12,10/4/2011 13:45,8/19/2011 15:18
12397,2,11/4/2011 9:52,7/27/2011 14:21
12398,1,10/25/2011 10:27,10/25/2011 10:27
12399,4,3/23/2011 9:42,8/12/2011 13:15
12401,1,2/9/2011 13:50,2/9/2011 13:50
12402,1,1/20/2011 13:49,1/20/2011 13:49
12403,1,10/21/2011 10:51,10/21/2011 10:51
12405,1,7/14/2011 8:52,7/14/2011 8:52
12406,2,11/17/2011 19:22,6/9/2011 10:23
12407,5,10/21/2011 10:11,7/6/2011 9:49
12408,5,11/7/2011 12:27,9/2/2011 10:27
12409,3,6/10/2011 12:19,9/22/2011 10:38
12410,2,2/4/2011 10:38,2/4/2011 10:39
12412,3,6/23/2011 13:51,9/26/2011 10:16
12413,3,1/6/2011 16:12,4/17/2011 15:33
